vendor,total_paid,share_of_total,concentration_flag
International Registration Plan (Irp) Inc,80989,3.91E-07,none
Gardiner Roberts Llp,80987,3.91E-07,none
Metocean Telematics ,80937,3.91E-07,none
Waterloo Manufacturing Company,80906,3.91E-07,none
Theodore William Inc(O/A Twg Communications),80852,3.91E-07,none
The&Partnership Inc,80821,3.90E-07,none
Oset Institute,80820,3.90E-07,none
Harlan Realty Inc.,80795,3.90E-07,none
Dr. Mollot Medicine Professional Corporation,80758,3.90E-07,none
Bobcaygeon And Area Chamber Of Commerce,80735,3.90E-07,none
Wurth Canada Ltd,80660,3.90E-07,none
Nabatech Consultants Inc,80586,3.89E-07,none
Inficon Holding Ag,80558,3.89E-07,none
Little Lake Cemetery Company,80533,3.89E-07,none
Andrew Wiese Law Professional Corp.,80456,3.89E-07,none
Lagasco Inc.,80397,3.88E-07,none
Performance Assessment Network Inc,80393,3.88E-07,none
Paul P. Ip,80372,3.88E-07,none
Northwinds Environmental Services,80332,3.88E-07,none
Wd Tait Enterprises Ltd.,80246,3.88E-07,none
Ghd Ltd.,80174,3.87E-07,none
Schomberg Sheet Metal,80119,3.87E-07,none
Taxitab,80006,3.86E-07,none
Servicemaster Canada,79951,3.86E-07,none
Jean M. Blier,79939,3.86E-07,none
Greenland International Consulting Ltd,79925,3.86E-07,none
Kurita Canada Inc,79911,3.86E-07,none
Jasmine C. Gassi Professional Corp.,79875,3.86E-07,none
Dr Gf Denardi Medicine Professional Corp,79800,3.85E-07,none
Eliza Montour,79789,3.85E-07,none
Hospitals In-Common Laboratory Inc,79789,3.85E-07,none
Mekorma Enterprises,79631,3.85E-07,none
Poliwoda Translations,79552,3.84E-07,none
Livingworks,79476,3.84E-07,none
1578800 Ontario Inc,79416,3.84E-07,none
Triton Canada Inc.,79366,3.83E-07,none
Daniel Habte,79296,3.83E-07,none
"Mulligan, Patrick James",79235,3.83E-07,none
Calm.Com Inc.,79160,3.82E-07,none
Info-Tech Research Group Inc.,79157,3.82E-07,none
Beacon Events Management Pty Ltd,79142,3.82E-07,none
Silver Star Janitorial Services,79133,3.82E-07,none
Oakridge Animal Clinic Professional Corporation,79116,3.82E-07,none
Allyson Lunny (O/A Allyson Lunny Research),79100,3.82E-07,none
Renata Y. Duma,79089,3.82E-07,none
Andrea R. Toth,79070,3.82E-07,none
Ntc Reporting & Transcription Services Inc.,79057,3.82E-07,none
Atwill-Morin Associates Inc. ,78965,3.81E-07,none
James E. Weppler,78952,3.81E-07,none
K9 Dynamics Inc,78952,3.81E-07,none
Enable Training And Consulting Inc.,78874,3.81E-07,none
N Musisi Psychotherapy Professional Corporation (O/A Karibu Mental Health Network),78849,3.81E-07,none
Redwood Performance Group Inc,78720,3.80E-07,none
Veronika Krivankova,78693,3.80E-07,none
Jose C. Silva,78541,3.79E-07,none
Maryann Ouimet Bohumila Bednarova (O/A Benda Catering),78538,3.79E-07,none
Heritage Home Hardware Building Centre,78531,3.79E-07,none
Skinner Law Professional Corporation,78522,3.79E-07,none
Tnt Work & Rescue,78235,3.78E-07,none
Ontario Southland Railway Inc,78173,3.78E-07,none
Carmichael Engineering Ltd,78141,3.77E-07,none
Linda Lang O/A Georgian Bay Court Reporting And Transcription Services,78132,3.77E-07,none
Trudell Healthcare Solutions Inc,78118,3.77E-07,none
Government Of Yukon,78002,3.77E-07,none
De Lage Landen Financial Services Canada Inc,77992,3.77E-07,none
North Grey K9 Limited,77929,3.76E-07,none
Dr Vidyanand Budhram Singh,77920,3.76E-07,none
Elisabeth Gyorko,77881,3.76E-07,none
Province Of New Brunswick,77860,3.76E-07,none
Apotex Inc (O/A Apobiologix),77773,3.76E-07,none
Valin Partners Llp,77696,3.75E-07,none
Kbrs 2022 Ltd (O/A Meridia Recruitment Solution),77688,3.75E-07,none
Gwl Realty Advisors Inc.,77683,3.75E-07,none
Orkin Canada Corporation,77683,3.75E-07,none
Metric Storage Systems,77587,3.75E-07,none
Revay And Associates Limited/Revay Et Associés Limitée,77569,3.75E-07,none
Premier Continuum Inc,77564,3.75E-07,none
Keiba Designs,77544,3.75E-07,none
Ron Nowell,77465,3.74E-07,none
Telus Mobility,77417,3.74E-07,none
Stringer Llp Management Lawyers ,77329,3.74E-07,none
Marks & Ciraco Professional Corp.,77292,3.73E-07,none
Natural Asl Interpreting Inc.,77172,3.73E-07,none
777628 Ontario Ltd. (O/A Norcon Construction),77148,3.73E-07,none
Valeria Ruoso Barrister & Solicitor,77110,3.72E-07,none
Les Technologies Forensic (Canada) Inc,77090,3.72E-07,none
Smiths Detection Montreal Inc,76986,3.72E-07,none
Abell Pest Control Inc,76954,3.72E-07,none
Ninham Law Office,76944,3.72E-07,none
Linda Rankin Medicine Professional Corporation,76937,3.72E-07,none
Forensic Dynamics Inc,76933,3.72E-07,none
Informa Connect Usa Llc,76877,3.71E-07,none
Carole Vaillancourt,76856,3.71E-07,none
Watershed 144 Ltd,76852,3.71E-07,none
Get Go Inc,76840,3.71E-07,none
Municipal Engineers Association,76826,3.71E-07,none
Bennett Grant Llp,76792,3.71E-07,none
Kristen A. Morris,76776,3.71E-07,none
Florinda M. Peschisolido,76773,3.71E-07,none
Bbw International Inc.,76747,3.71E-07,none
Johnston Net & Twine Ltd.,76737,3.71E-07,none
Coop Edgar,76694,3.70E-07,none
Zuzek Inc.,76691,3.70E-07,none
Kristen L. Hales,76631,3.70E-07,none
"Tremblay, Daniel",76586,3.70E-07,none
Anjeline J. Thisairajah,76578,3.70E-07,none
Robins Naik Llp,76544,3.70E-07,none
Pedersen Construction Inc,76526,3.70E-07,none
Logan'S Of Parry Sound,76450,3.69E-07,none
Judy Cybulskie,76352,3.69E-07,none
Hands Of Blessing Agency Inc.,76339,3.69E-07,none
Donald S. Clarke,76307,3.69E-07,none
Tomasita T. Mendiola,76281,3.68E-07,none
13075567 Canada Inc.,76275,3.68E-07,none
Buffam Leveille Funeral Home Ltd,76248,3.68E-07,none
Badge Of Life Canada,76226,3.68E-07,none
Statements Media Inc ,76205,3.68E-07,none
Federal Express Canada Corp.,76202,3.68E-07,none
Dr Donald H Shattuck,76144,3.68E-07,none
Cheryl L. Spires (O/A Word Enchantment),76073,3.67E-07,none
Industrial Electrical Contractors Brockville Ltd,75943,3.67E-07,none
Silvacom Ltd.,75936,3.67E-07,none
Mso Construction Ltd,75915,3.67E-07,none
T Elsayegh Medicine Professional Corporation,75900,3.67E-07,none
1000928625 Ontario Inc.,75868,3.66E-07,none
Eabametoong First Nation Power Authority,75818,3.66E-07,none
Agat Laboratories Ltd,75773,3.66E-07,none
Informa Connect Limited,75718,3.66E-07,none
Triple Crown Industries Inc.,75717,3.66E-07,none
Cohen Highley Llp,75682,3.66E-07,none
Brown Book Company (Bbc) Ltd,75632,3.65E-07,none
Penswick Medicine Professional Corporation,75600,3.65E-07,none
Qujabr Merchandising Ltd,75575,3.65E-07,none
Drafting Clinic Canada Ltd,75564,3.65E-07,none
Canadian Safety Equipment,75543,3.65E-07,none
Edb Uk Limited,75543,3.65E-07,none
Victory Verbatim Reporting Services Inc.,75461,3.65E-07,none
Man Ha Cheung (O/A Eppie Cheung),75421,3.64E-07,none
Norfolk Disposal Services Ltd,75418,3.64E-07,none
Julien & Cormier Professional Corp.,75405,3.64E-07,none
Amanda R. Walker (O/A Muskoka Transcription Services),75403,3.64E-07,none
Hon. Stephen Lecce,75367,3.64E-07,none
Vertigis North America Ltd.,75339,3.64E-07,none
Dejero Labs Inc,75258,3.64E-07,none
Lorne Glass (O/A Glass And Associates),75201,3.63E-07,none
Province Of Ontario,75179,3.63E-07,none
Patrick Esmond Case (O/A Patrick Case),75145,3.63E-07,none
Amazon Canada,75134,3.63E-07,none
Kojo Institute Inc,75104,3.63E-07,none
Karen A. Beckett Barrister & Solicitor,75094,3.63E-07,none
Colour Industries Inc,75027,3.62E-07,none
Government Of The Province Of Saskatchewan,75000,3.62E-07,none
Nextalk Inc,75000,3.62E-07,none
Ecojustice Canada Society ,75000,3.62E-07,none
Karl Marx,74935,3.62E-07,none
B & F Shier Contractors Ltd,74891,3.62E-07,none
Martins Fire Safety Ltd,74867,3.62E-07,none
Spot Llc.,74851,3.62E-07,none
Meehan'S Industrial Maintenance Ltd,74850,3.62E-07,none
Korn Ferry (Ca) Ltd.,74750,3.61E-07,none
Oakham House O/B The Palin Foundation,74735,3.61E-07,none
"Mclaughlin & Associates, Inc.",74698,3.61E-07,none
Testerdigital O/A Eddt Inc,74580,3.60E-07,none
Syed Naqvi,74578,3.60E-07,none
Lisa L. Leiher,74549,3.60E-07,none
Towards Sustainable Infrastructure (Tsi) Inc,74530,3.60E-07,none
Beard Winter Barristers And Solicitors Llp,74472,3.60E-07,none
Amina Ali Medicine Professional Corp.,74411,3.59E-07,none
Giovanni Marcelli And Anna Marcelli,74333,3.59E-07,none
North Bay Hydro,74321,3.59E-07,none
Alan M. Gorth,74319,3.59E-07,none
Terraplus Inc,74267,3.59E-07,none
Embertech Industrial Inc.,74189,3.58E-07,none
Toronto Hydro-Electric System Limited,74127,3.58E-07,none
Michael Lynk Arbitration Inc,74074,3.58E-07,none
Enibas & Assosiates,74072,3.58E-07,none
Mimeri Investments Ltd (O/A Radiant),73947,3.57E-07,none
Evans Caseload Inc,73910,3.57E-07,none
Dafco Filtration Group,73875,3.57E-07,none
The Treadmill Factory,73794,3.56E-07,none
Shequita Thompson (O/A Str Consulting),73733,3.56E-07,none
Koshertrends,73416,3.55E-07,none
Battlefield Equipment,73396,3.55E-07,none
Eleanor Shaw,73394,3.55E-07,none
2870893 Ontario Inc,73313,3.54E-07,none
Metzger Veterinary Services Professional Corporation,73305,3.54E-07,none
Fedorchuk Masonry Ltd.,73290,3.54E-07,none
Margarida Pacheco,73200,3.54E-07,none
Jin J. Yu,73171,3.53E-07,none
Keith Snyder Construction Ltd,73143,3.53E-07,none
Armking Contracting Limited,73115,3.53E-07,none
Katherine Regimbal,73055,3.53E-07,none
Upper James Hotels Inc,73028,3.53E-07,none
"Clarion Events, Inc",73022,3.53E-07,none
Gary Spraakman (O/A S Consulting & Research),72998,3.53E-07,none
Cecilia A. Conover,72978,3.53E-07,none
Aircraft Spruce Canada,72958,3.52E-07,none
Catherine M. Smuk,72948,3.52E-07,none
Huron Tractor Ltd,72842,3.52E-07,none
Adrienne D. Cruz,72836,3.52E-07,none
Ctg Brands Inc.,72835,3.52E-07,none
Vita Obses Technology,72816,3.52E-07,none
Gat International Localization Service Inc.,72755,3.51E-07,none
Bay Lock & Security,72661,3.51E-07,none
Central Building Services ,72659,3.51E-07,none
"Blueprint Events, Llc",72638,3.51E-07,none
Silver Hotels (Vancouver) Ltd (O/A Novotel Toronto Centre),72630,3.51E-07,none
579453 Ontario Inc (O/A Mantech),72630,3.51E-07,none
Spectrum Networks Inc,72597,3.51E-07,none
1422022 Ontario Inc. (O/A Sierra Construction),72546,3.50E-07,none
Glory To,72509,3.50E-07,none
Clow Darling Ltd,72484,3.50E-07,none
Royal Canadian Legion (Ontario Command),72459,3.50E-07,none
Selene Plastic Bags,72429,3.50E-07,none
Day Communications Group Inc. ,72418,3.50E-07,none
Laeticia Eid Medicine Professional Corp.,72377,3.50E-07,none
A Seven Eleven Taxi Inc.,72350,3.49E-07,none
Eco Tree Care Inc,72320,3.49E-07,none
Brite Linen And Laundry,72269,3.49E-07,none
Beggs Funeral Home Ltd,72150,3.49E-07,none
Ericksons Llp,72113,3.48E-07,none
Rethink Communications Lp,72084,3.48E-07,none
Calibrate Solutions Inc,72060,3.48E-07,none
Persona Communications Inc (O/A Eastlink),71979,3.48E-07,none
Lori C. Macintosh Professional Corp.,71868,3.47E-07,none
Sonya Notturno (O/A Chenier & Notturno),71789,3.47E-07,none
Joshua Levy,71755,3.47E-07,none
Susan Maclaren (O/A Top Of The Bay Licences),71723,3.46E-07,none
Lan Ltd (O/A Lancaster House),71676,3.46E-07,none
"Kowalsky, Daryl",71631,3.46E-07,none
Welch Llp,71552,3.46E-07,none
Deborah Knight (O/A Knight Transcripts),71527,3.46E-07,none
Mctague Law Firm Llp,71512,3.45E-07,none
Avia Ng Inc,71507,3.45E-07,none
Budd Steele Dentistry Professional Corporation,71500,3.45E-07,none
Ats Healthcare Inc.,71500,3.45E-07,none
Compassion Institute Inc,71496,3.45E-07,none
Acklands-Grainger,71491,3.45E-07,none
Josephine Hurley (O/A J A Hurley Law),71335,3.45E-07,none
Town Of Penetanguishene),71325,3.45E-07,none
Sara J. Slinn Arbitration Services Inc.,71321,3.45E-07,none
Hamilton Company,71248,3.44E-07,none
O I International Labour Source Inc,71230,3.44E-07,none
Black And Mcdonald Limited ,71224,3.44E-07,none
Co-Op Cabs,71192,3.44E-07,none
Blown Away Property Services,71190,3.44E-07,none
John Mclellan Contracting Inc,71077,3.43E-07,none
Irma Niklas,71041,3.43E-07,none
High Purity Water Services Ulc.,71015,3.43E-07,none
Autoforecast Solutions Llc,70981,3.43E-07,none
The Driving Force Inc.,70972,3.43E-07,none
"Cd3, General Benefit Corporation",70932,3.43E-07,none
Joe Neniska & Sons Ltd,70894,3.42E-07,none
Tim Hortons,70800,3.42E-07,none
Primespec Distribution Inc,70796,3.42E-07,none
1708998 Ontario Ltd. (O/A Medical Courier Services),70768,3.42E-07,none
Haardeng Lutchin Mckenzie Middleton O'Brien Schulenberg Veterinary Medicine Professional Corporation,70754,3.42E-07,none
Niagara Veterinary Emergency Clinic,70725,3.42E-07,none
2734884 Ontario Inc,70693,3.41E-07,none
Harvest King Produce,70690,3.41E-07,none
Supply Line,70642,3.41E-07,none
Canor Construction,70633,3.41E-07,none
Optiv Canada Inc.,70622,3.41E-07,none
Teva Canada Limited,70579,3.41E-07,none
Vamsi Gandikota,70478,3.40E-07,none
Kelly Waddingham,70431,3.40E-07,none
King Animal Hospital,70380,3.40E-07,none
Norpro Security Ltd.,70371,3.40E-07,none
2746904 Ontario Inc. (O/A Pivot Airlines),70369,3.40E-07,none
Fitzgerald & Dionne,70368,3.40E-07,none
Michel Bedard (O/A Accuwrite),70345,3.40E-07,none
Caesars Entertainment Windsor Ltd (O/A Caesars Windsor),70344,3.40E-07,none
Yedishtra Naidoo Medicine Professional Corporation,70317,3.40E-07,none
2725312 Canada Inc. C/O Quadreal Property Group,70308,3.40E-07,none
Trane Canada,70286,3.40E-07,none
Ecoh Management Inc.,70198,3.39E-07,none
Gowling Wlg Canada Llp,70190,3.39E-07,none
Pp Inq Law,70186,3.39E-07,none
Syngrafii Inc,70173,3.39E-07,none
Rogers Communications Partnership,70132,3.39E-07,none
Embr Events Inc,70005,3.38E-07,none
"Mason, Dawn M.H.",70000,3.38E-07,none
Nvs Professional Corporation........................................................ ,70000,3.38E-07,none
Canadian Linen & Uniform Services,69966,3.38E-07,none
House Of Broadloom Ltd,69947,3.38E-07,none
Beth L. Gosselin,69786,3.37E-07,none
Kenneth E Schippling (O/A 1 Contact Safety Training & Consulting),69778,3.37E-07,none
Premier Tech Home & Garden Inc,69701,3.37E-07,none
Hana Ahmad-Yousuf,69674,3.37E-07,none
Modern Niagara,69651,3.36E-07,none
Spiegle Zahra Veterinary Medicine Professional Corporation,69649,3.36E-07,none
Dalton Consulting,69578,3.36E-07,none
Regency Electrical Contractors,69566,3.36E-07,none
Zyad Mohammed,69561,3.36E-07,none
Canadian Technical Solutions Inc.,69540,3.36E-07,none
Monotype Imaging Inc,69519,3.36E-07,none
M & G Fencing Inc,69498,3.36E-07,none
Wildlife Acoustics Inc.,69483,3.36E-07,none
Niagara River Trading Company,69353,3.35E-07,none
Total Transportation Solutions Inc,69350,3.35E-07,none
D And R Electronics,69227,3.34E-07,none
Teel Technologies Canada,69206,3.34E-07,none
Wyloo Pty Ltd.,69163,3.34E-07,none
Hon. Stan Cho,69133,3.34E-07,none
Veterinary Emergency Clinic,69085,3.34E-07,none
R&L Equipment Sales & Service Ltd,69066,3.34E-07,none
Fhc Hotels & Resorts Inc.,69038,3.33E-07,none
Anita Grewal Medicine Professional Corporation,68983,3.33E-07,none
Data Direct Group Inc.,68971,3.33E-07,none
Rbs,68944,3.33E-07,none
Yasmeen F. Mosa,68868,3.33E-07,none
Atlantic Packaging Products,68863,3.33E-07,none
Royal Canadian Legion,68813,3.32E-07,none
Country Paws Boarding Inc,68750,3.32E-07,none
Exxon Mobil Corp.,68680,3.32E-07,none
Rachel Maveneka,68671,3.32E-07,none
Community Alternative Funeral & Cremation Services Ltd,68667,3.32E-07,none
Cris C. Jones,68651,3.32E-07,none
Sirineni Veterinary Professional Corporation,68649,3.32E-07,none
Xianjun Liu (O/A Kingly Translations),68626,3.32E-07,none
Wyndham Hotels & Resorts Inc.,68609,3.31E-07,none
Prism Data Services Ltd,68563,3.31E-07,none
Rjr Innovations Inc,68493,3.31E-07,none
Provenzano Law Professional Corporation,68487,3.31E-07,none
Twenty6Two International Inc,68463,3.31E-07,none
Rasim Misheal Law Office,68429,3.31E-07,none
Prestige Verbatim Transcription,68380,3.30E-07,none
Watershed 144 Ltd.,68356,3.30E-07,none
Macnaughton Hermsen Britton Clarkson Planning Limited (O/A Mhbc Planning),68277,3.30E-07,none
Automated Logic Corporation,68255,3.30E-07,none
Torys Llp.................................................................................... ,68184,3.29E-07,none
Stacey Sheehan,68139,3.29E-07,none
Kathleen S. Hao,68077,3.29E-07,none
Abloy Canada Inc,68021,3.29E-07,none
Water Environment Federation Wef,68021,3.29E-07,none
2724074 Ontario Inc. 1048 Business Consultants,68019,3.29E-07,none
2554546 Ontario Inc.,68018,3.29E-07,none
Iapp ,67941,3.28E-07,none
Western Mechanical Electrical Millwright Services Ltd,67919,3.28E-07,none
Bureau Veritas Marine (Canada) Inc,67895,3.28E-07,none
Wood Mackenzie Inc,67890,3.28E-07,none
Hach Company,67881,3.28E-07,none
Dale Mado (O/A Dale Mado Bobcat & Bulldozer Services ),67873,3.28E-07,none
Softchoice Lp,67836,3.28E-07,none
Ingrid Rehkoph,67801,3.28E-07,none
Daisy Consulting Group Inc. ,67800,3.28E-07,none
Berg Communications Inc (O/A Wireless Personal Communications),67770,3.27E-07,none
Fiona Forsayeth,67699,3.27E-07,none
Steelhead Food Co,67691,3.27E-07,none
Nd Graphics Inc,67673,3.27E-07,none
Euroscript Canada Inc,67623,3.27E-07,none
8265836 Canada Inc. (O/A Falcon Security Services),67617,3.27E-07,none
Professional Court Reporters Inc.,67612,3.27E-07,none
Dr Melanie Strike,67575,3.26E-07,none
Stepping Forward Counselling Services,67474,3.26E-07,none
Victoria H. Lemoine,67444,3.26E-07,none
Kanwal P. Jammu,67439,3.26E-07,none
Accessibil-It Inc.,67348,3.25E-07,none
Juno Advisors Ltd,67292,3.25E-07,none
Melita Popic,67271,3.25E-07,none
Capital Events Llc,67269,3.25E-07,none
"Best Western International, Inc.",67243,3.25E-07,none
Barry'S Bay Dairy Ltd,67238,3.25E-07,none
Pa Miller Surveying Ltd.,67235,3.25E-07,none
2866601 Ontario Inc O/A Total Septic,67235,3.25E-07,none
Precisely Software And Data Canada Inc,67232,3.25E-07,none
Zoom Video Communications Inc,67228,3.25E-07,none
Artistic Frameworks,67186,3.25E-07,none
Overburden Drilling Management Ltd,67172,3.24E-07,none
Costco Wholesale ,67165,3.24E-07,none
Mettler-Toledo Inc,67142,3.24E-07,none
Pci Geomatics Enterprises Inc.,67122,3.24E-07,none
Mary C. W. Rodriguez,67066,3.24E-07,none
Blue Labs Analytics Inc. ,67000,3.24E-07,none
Three Nuts Inc ,66986,3.24E-07,none
Staples ,66984,3.24E-07,none
Royal J & M Distributing Inc,66970,3.24E-07,none
Geometrix Data Systems Inc,66896,3.23E-07,none
Hoskin Scientific Ltd,66896,3.23E-07,none
Paul Valliant Psychology Professional Corp,66888,3.23E-07,none
Harkel Office Furniture Ltd.,66843,3.23E-07,none
Rideau Supply,66821,3.23E-07,none
David Leveille (O/A David Leveille Contracting),66811,3.23E-07,none
Kupper Contracting Inc.,66783,3.23E-07,none
Investigative Solutions Network Inc. (O/A Investigative Research Group),66783,3.23E-07,none
Vital Link Ice Cream & Event Marketing Inc,66776,3.23E-07,none
G F Preston Sales & Service Ltd,66773,3.23E-07,none
Avenza Systems Inc.,66748,3.22E-07,none
Vista Radio Ltd ,66670,3.22E-07,none
Screen Machine Promotions ,66668,3.22E-07,none
Advanis Inc,66647,3.22E-07,none
Cale Swearengen (O/A Cale'S Contracting & Repairs),66643,3.22E-07,none
Brooklin Concrete Products Corp,66633,3.22E-07,none
Agropur Cooperative Agropur Coopérative (O/A Natrel),66618,3.22E-07,none
Tracey Gamsby,66618,3.22E-07,none
1770979 Ontario Inc,66557,3.22E-07,none
Geraldton Community Forest Inc,66557,3.22E-07,none
Servicepro Plus Inc.,66553,3.21E-07,none
David Sandor,66552,3.21E-07,none
Central Taxi,66518,3.21E-07,none
